Chinese,English,Frequency Count,Indonesia
非,No,3467,TIDAK
早安,Good morning,3463,Selamat pagi
中间,middle,3463,tengah
癸,Deciduous,3462,Meranggas
整天,All day,3462,Sepanjang hari
我想,I think,3461,Menurut saya
巧克力,chocolate,3455,cokelat
找出,Find out,3455,Mengetahui
强大,powerful,3453,kuat
受害者,victim,3449,korban
某些,some,3448,beberapa
后悔,regret,3448,menyesali
您好,Hello,3445,Halo
一分钟,One minute,3444,Satu menit
精彩,Wonderful,3444,Luar biasa
有點,A little bit,3443,Sedikit
卡尔,Car,3437,Mobil
睡着,sleep,3436,tidur
果然,really,3436,Sungguh
人人,Everyone,3432,Setiap orang
基地,base,3432,basis
两位,Two,3430,Dua
一片,one slice,3430,satu potong
时间轴,Timeline,3428,Garis waktu
单独,alone,3420,sendiri
名单,List,3420,Daftar
病毒,Virus,3417,Virus
过程,process,3414,proses
急,urgent,3411,mendesak
左右,about,3410,tentang
生病,Get ill,3408,jatuh sakit
种,kind,3406,baik
人物,figure,3406,angka
尿,Urine,3403,Air seni
戒指,ring,3397,cincin
自我,self,3394,diri sendiri
立即,immediately,3392,langsung
女生,girl,3389,gadis
星球,Planet,3385,Planet
变化,Variety,3383,Variasi
卡车,truck,3381,truk
怎樣,how,3380,Bagaimana
空间,space,3376,ruang angkasa
穿过,Pass through,3374,Melewati
象,elephant,3373,gajah
旅馆,hostel,3373,asrama
打死,Kill,3372,Membunuh
观众,audience,3368,hadirin
依然,still,3367,tetap
做事,work,3367,bekerja
三年,Three years,3366,Tiga tahun
ﺑ,Bleak,3365,Suram
他来,he comes,3365,dia datang
火,fire,3363,api
乐队,band,3362,pita
飞行,flight,3357,penerbangan
接到,Receive,3349,Menerima
る,Bleak,3348,Suram
两次,twice,3348,dua kali
导演,director,3348,direktur
满意,satisfy,3346,memuaskan
認識,know,3341,tahu
导致,lead to,3339,menuju ke
要死,To death,3337,Sampai mati
接触,touch,3334,menyentuh
折磨,Torture,3328,Menyiksa
骗子,fraud,3328,tipuan
明星,star,3327,bintang
经验,experience,3327,pengalaman
小伙子,Guy,3326,Pria
ﺗ,Bleak,3323,Suram
前进,go ahead,3322,teruskan
西,West,3321,Barat
美女,Beauty,3320,Kecantikan
一部,One,3318,Satu
性,sex,3315,seks
至,to,3314,ke
好运,good luck,3314,semoga beruntung
尽力,Do their best,3314,Melakukan yang terbaik
密码,password,3311,kata sandi
赌,bet,3307,bertaruh
刺激,Stimulate,3303,Merangsang
以来,since,3303,sejak
承诺,promise,3303,janji
艺术,Art,3302,Seni
子,son,3301,putra
耍,Play,3299,Bermain
让开,Step aside,3294,Menyingkir
烧,burn,3294,membakar
明明,Clearly,3294,Jelas
惊讶,surprise,3293,kejutan
免费,free,3292,bebas
案件,case,3290,kasus
女孩子,Girl,3290,Gadis
天呐,Hey,3290,Hai
惩罚,punish,3285,menghukum
释放,freed,3285,dibebaskan
吵,Quarrel,3285,Pertengkaran
位,Position,3279,Posisi
顺便,By the way,3279,Omong-omong
无辜,innocent,3275,tidak bersalah
老鼠,mouse,3275,mouse
采取,take,3274,mengambil
联络,connection,3269,koneksi
展示,exhibit,3269,pameran
无关,Have nothing to do with,3268,Tidak ada hubungannya dengan
卻,but,3268,Tetapi
箱子,box,3267,kotak
挑战,challenge,3266,tantangan
讲话,Speaking,3265,Berbicara
练习,practise,3265,praktik
点儿,Point,3264,Titik
从来不,never,3262,tidak pernah
楼上,upstairs,3262,di atas
擔心,Worry,3259,Khawatir
实现,accomplish,3256,menyelesaikan
脖子,neck,3253,leher
理论,theory,3247,teori
关键,The essential,3247,Yang penting
電話,Telephone,3246,Telepon
聚会,reunion,3245,reuni
推,push,3245,dorongan
洛杉矶,Los Angeles,3244,Los Angeles
方便,convenient,3242,nyaman
耳朵,ear,3241,telinga
数字,number,3241,nomor
世纪,century,3241,abad
奇迹,Miracle,3235,Keajaiban
各种,Various,3235,Bermacam-macam
窗户,window,3235,jendela
罪犯,criminal,3234,pidana
破,break,3233,merusak
呼叫,call,3233,panggilan
气,gas,3229,gas
仅仅,only,3228,hanya
手术,Operation,3225,Operasi
说服,persuade,3224,membujuk
死定了,Dead,3222,Mati
清理,Clean up,3222,Membersihkan
宣布,Announce,3221,Mengumumkan
启动,start up,3220,rintisan
能量,energy,3219,energi
分开,separate,3219,memisahkan
车子,Car,3217,Mobil
室,room,3215,ruang
ネ,Bleak,3212,Suram
加上,Add,3212,Menambahkan
车上,On the car,3211,Di dalam mobil
印象,impression,3204,kesan
天空,Sky,3203,Langit
天气,weather,3201,cuaca
小时候,I was a kid,3201,aku masih anak-anak
游泳,swim,3201,berenang
拜拜,Bye-Bye,3200,Selamat tinggal
滚开,Go away,3198,Pergilah
大部分,most,3198,paling
教练,coach,3194,pelatih
に,Bleak,3193,Suram
哟,Yo,3192,Kamu
我用,I use,3188,saya menggunakan
集,set,3187,mengatur
阿姨,Aunt,3186,Tante
估计,estimate,3186,memperkirakan
科学,science,3185,sains
而言,For,3183,Untuk
乐意,willing,3180,bersedia
鼻子,nose,3178,hidung
不錯,good,3177,Bagus
地区,area,3177,daerah
塔,tower,3177,menara
杀害,kill,3176,membunuh
孤独,Lonely,3176,Kesepian
声,Voice,3174,Suara
拿来,Use,3173,Menggunakan
寫,Write,3173,Menulis
喝点,Drink,3172,Minum
夏天,summer,3172,musim panas
十年,ten years,3171,sepuluh tahun
如今,now,3168,Sekarang
某人,Someone,3166,Seseorang
元,Yuan,3165,Yuan
不像,Not like,3163,Tidak seperti
欧洲,Europe,3163,Eropa
船上,On board,3160,Di atas kapal
ﻋ,Bleak,3157,Suram
肚子,abdomen,3156,perut
大声,Loud,3156,Keras
手里,In the hand,3154,Di tangan
红色,red,3153,merah
婴儿,baby,3152,Sayang
旧,old,3151,tua
环境,environment,3151,lingkungan
团队,team,3150,tim
神奇,magic,3149,sihir
年纪,age,3145,usia
唉,well,3145,Sehat
瞧瞧,Look at,3143,Lihatlah
熊,Bear,3140,Beruang
年代,Era,3137,Era
上学,go to school,3137,bersekolah
大量,Large amount,3136,Jumlah besar
快去,Go,3136,Pergi
伤心,sad,3136,sedih
何时,when,3133,Kapan
别忘了,do not forget,3133,jangan lupa
紧急,urgent,3133,mendesak
布,cloth,3133,kain
暴力,Violence,3130,Kekerasan
付出,pay,3127,membayar
尽量,As much as possible,3126,Sebisa mungkin
太多,too much,3126,terlalu banyak
伤,hurt,3121,terluka
互相,each other,3120,satu sama lain
繼續,continue,3118,melanjutkan
无论如何,anyway,3117,Bagaimanapun
空气,Air,3115,Udara
邻居,Neighbor,3114,Tetangga
某种,Certain,3113,Yakin
想过,Think about,3112,Pikirkan tentang
他人,others,3112,yang lain
规则,rule,3110,aturan
我妈,my mother,3107,ibuku
司机,driver,3105,pengemudi
好奇,curious,3105,penasaran
城,city,3105,kota
打破,break in,3103,masuk
信仰,Belief,3101,Keyakinan
ﻌ,Bleak,3100,Suram
不可思议,Incredible,3095,Menakjubkan
ﺔ,Bleak,3093,Suram
付,pay,3090,membayar
持续,continued,3090,lanjutan
逃,escape,3088,melarikan diri
朝,towards,3087,terhadap
无所谓,Indifferent,3084,Cuek
协议,protocol,3076,protokol
父親,Father,3075,Ayah
假如,if,3072,jika
阁下,Your Mightiness,3071,Yang Mulia
愿,willing,3069,bersedia
打赌,bet,3069,bertaruh
城堡,castle,3067,kastil
退后,Retreat,3066,Mundur
说不定,maybe,3063,Mungkin
菜,vegetable,3059,sayuran
彻底,thorough,3059,menyeluruh
地图,map,3057,peta
牧师,Priest,3055,Pendeta
墨西哥,Mexico,3054,Meksiko
词,word,3050,kata
重复,repeat,3048,mengulang
犯人,Prisoner,3047,Tawanan
我爸,My Father,3046,Ayahku
妓,prostitute,3046,pelacur
运气,luck,3045,keberuntungan
不太,Not too much,3042,Tidak terlalu banyak
华文,Chinese,3041,Cina
早晨,morning,3040,Pagi
幹什麼,What to do,3033,Apa yang harus dilakukan
一对,One -pair,3029,Satu pasang
小孩子,child,3028,anak
相同,same,3027,sama
裤子,Pants,3023,Celana
聊,chat,3022,mengobrol
规矩,rule,3022,aturan
到来,arrival,3020,kedatangan
真棒,Awesome,3018,Luar biasa
逃走,escape,3018,melarikan diri
近,close,3016,menutup
程序,program,3015,program
发出,issue,3014,masalah
趴下,Go down,3010,Turun
白人,White,3007,Putih
本书,Book,3006,Buku
中尉,Lieutenant,3005,Letnan
不肯,Not willing,3003,Tidak bersedia
街上,On the street,3002,Di jalanan
託,Entrust,2999,Mempercayakan
揍,beat,2996,mengalahkan
度,Spend,2996,Membelanjakan
給我,Give me,2994,Berikan aku
伙,Partner,2993,Mitra
打架,fight,2992,bertarung
这太,This is too,2992,Ini terlalu
ﻭ,Bleak,2991,Suram
女王,Queen,2986,Ratu
錯,wrong,2984,salah
救救,Rescue,2983,Menyelamatkan
三天,Three days,2983,Tiga hari
尽,Fully,2981,Sepenuhnya
午餐,Lunch,2979,Makan siang
则,but,2979,Tetapi
看法,view,2977,melihat
喝醉,Drunk,2976,Mabuk
一支,One,2975,Satu
权力,that power,2975,kekuatan itu
也好,Good,2971,Bagus
留言,message,2971,pesan
床,bed,2970,tempat tidur
脸上,Face,2967,Menghadapi
摧毁,destroy,2966,menghancurkan
全是,all,2965,semua
故意,deliberately,2962,dengan sengaja
山,Mountain,2962,Gunung
罗,Luo,2961,Luo
打败,defeat,2961,mengalahkan
哪裡,where,2960,Di mana
背后,behind,2958,di belakang
人来,People,2957,Rakyat
远离,keep away,2957,menghindari
狼,Wolf,2957,Serigala
毕竟,after all,2956,bagaimanapun
警探,Warning,2955,Peringatan
洗澡,bath,2949,mandi
黑色,black,2948,hitam
痷,Bleak,2948,Suram
便宜,Cheap,2945,Murah
大多数,most,2943,paling
伪,Fake,2940,Palsu
行李,luggage,2939,bagasi
别碰,Don't touch,2939,Jangan sentuh
毫无,,2937,#VALUE!
线,Wire,2932,Kabel
一人,one person,2931,satu orang
蓝色,blue,2930,biru
浪漫,romantic,2930,romantis
亲,relative,2926,relatif
起床,get up,2925,bangun
很少,rare,2925,langka
大脑,brain,2923,otak
师父,Master,2923,Menguasai
殿下,His Highness,2923,Yang Mulia
指控,Accommodate,2922,Menampung
道理,reason,2921,alasan
擦,wipe,2919,menghapus
尖叫,Scream,2919,Berteriak
爵士,Jazz,2918,Jazz
冠军,champion,2917,juara
场,field,2915,bidang
按照,according to,2914,menurut
重点,Focus on,2909,Fokus pada
教育,educate,2907,mendidik
知不知道,do you know,2907,apakah kamu tahu
一堆,pile,2904,tumpukan
前往,Go,2904,Pergi
对待,treat,2904,merawat
空,,2901,#VALUE!
进展,progress,2899,kemajuan
醒,Awake,2899,Bangun
有所,Some,2894,Beberapa
ﻦ,Bleak,2894,Suram
大叔,Uncle,2893,Paman
仔细,carefulness,2890,kehati-hatian
半,Half,2889,Setengah
票,ticket,2888,tiket
娜,Unnamed,2888,Tanpa Nama
祝你好运,Good luck,2888,Semoga beruntung
护士,Nurse,2888,Perawat
一颗,One,2887,Satu
既,now that,2886,sekarang itu
罗斯,Ross,2886,Ross
摸,touch,2885,menyentuh
战士,warrior,2883,prajurit
太空,Space,2882,Ruang angkasa
申请,Apply,2879,Menerapkan
太久,Too long,2872,Terlalu panjang
勇气,courage,2871,keberanian
万岁,Long live,2871,Dirgahayu
组,Group,2869,Kelompok
重,Heavy,2867,Berat
委员会,Committee,2860,Komite
强,powerful,2860,kuat
付钱,Pay,2859,Membayar
面包,bread,2858,roti
不仅,not only,2857,tidak hanya
ﻘ,Bleak,2855,Suram
关注,focus on,2855,fokus pada
不久,soon,2852,segera
看不见,Invisible,2851,Tak terlihat
万一,just in case,2848,untuk berjaga-jaga
熟悉,familiar,2845,akrab
正如,Just like,2845,Sama seperti
笑话,joke,2844,candaan
法,Law,2843,Hukum
咯,Be,2841,Menjadi
经典,classic,2840,klasik
一间,one,2840,satu
凭,Rely on,2838,Mengandalkan
抛弃,abandon,2834,meninggalkan
时光,Time,2832,Waktu
实验室,laboratory,2832,laboratorium
掌握,master,2830,menguasai
英语,English,2827,Bahasa inggris
在意,care,2826,peduli
管理,manage,2824,mengelola
干活,Work,2823,Bekerja
洞,Hole,2822,Lubang
范围,scope,2822,cakupan
李,plum,2819,prem
低,Low,2819,Rendah
集中,concentrated,2817,pekat
遇见,meet,2814,bertemu
懂吗,Do you understand,2812,Apakah kamu mengerti?
做点,Do some,2810,Lakukan beberapa
右,right,2807,Kanan
说出,Say,2807,Mengatakan
艾伦,Allen,2807,Allen
报道,Report,2806,Laporan
最高,Highest,2802,Paling tinggi
之外,Outside,2801,Di luar
哪兒,where,2800,Di mana
表情,expression,2797,ekspresi
警局,Police station,2796,Kantor polisi
用力,Force,2795,Memaksa
ﻥ,Bleak,2795,Suram
谎言,lie,2791,berbohong
回忆,remember,2790,Ingat
传统,Tradition,2790,Tradisi
放到,Put,2790,Meletakkan
都行,Be able to,2787,Mampu untuk
海洋,ocean,2785,laut
椅子,Chair,2784,Kursi
欣赏,appreciate,2781,menghargai
五分钟,five minutes,2781,lima menit
舞会,prom,2781,pesta prom
搜查,search,2780,mencari
快要,Be about,2775,Menjadi tentang
小女孩,little girl,2775,gadis kecil
退出,quit,2774,berhenti
看吧,Look at,2774,Lihatlah
事业,cause,2774,menyebabkan
头上,On the head,2771,Di kepala
机器人,robot,2767,robot
绝不,no way,2766,mustahil
专业,major,2765,besar
作用,effect,2764,memengaruhi
完毕,complete,2763,menyelesaikan
王,king,2762,raja
增加,Increase,2761,Meningkatkan
不太好,not too good,2760,tidak terlalu bagus
隐藏,hide,2759,bersembunyi
诅咒,curse,2759,menyumpahi
随,Follow,2758,Mengikuti
一面,one side,2755,satu sisi
思想,Thought,2754,Pikiran
项目,project,2753,proyek
杂志,Magazine,2751,Majalah
再見,goodbye,2749,selamat tinggal
达到,achieve,2744,meraih
关掉,Turn off,2741,Mematikan
罢了,Stop,2740,Berhenti
不吃,Not eat,2739,Tidak makan
部门,department,2738,departemen
联邦,federal,2737,federal
坏人,Bad guy,2737,Orang jahat
职业,Profession,2736,Profesi
剑,sword,2736,pedang
观察,observe,2734,mengamati
格,grid,2733,jaringan
毕业,graduate,2732,lulus
扂,Bleak,2731,Suram
阳光,Sunlight,2731,Sinar matahari
白色,White,2723,Putih
岛,island,2723,pulau
吐,vomit,2721,muntah
想见,Want to see,2720,Ingin melihat
有效,efficient,2717,efisien
做过,Do,2717,Melakukan
实验,experiment,2712,percobaan
親愛的,Honey,2709,Sayang
心中,Heart,2708,Jantung
忍受,Bear,2707,Beruang
对此,This,2707,Ini
圣诞节,Christmas,2706,Natal
罗伯特,Robert,2706,Robert
试着,Try,2705,Mencoba
作家,writer,2702,penulis
罪,crime,2701,kejahatan
出口,exit,2701,KELUAR
感兴趣,interested,2700,tertarik
区域,area,2699,daerah
主演,Starring,2698,Dibintangi
愤怒,anger,2695,amarah
抽烟,smokes,2695,merokok
凯特,Kait,2693,Kait
著名,Famous,2692,Terkenal
渴望,eager,2692,ingin sekali
乱,chaos,2689,kekacauan
内心,heart,2687,jantung
小组,group,2687,kelompok
挖,dig,2684,menggali
将来,future,2681,masa depan
信心,confidence,2681,kepercayaan diri
を,Bleak,2678,Suram
事故,ACCIDENT,2676,KECELAKAAN
玩具,Toy,2673,Mainan
对手,opponent,2673,lawan
带你去,Take you,2671,Membawa kamu
抢劫,robbery,2670,perampokan
华盛顿,Washington,2670,Washington
现金,cash,2669,uang tunai
摆脱,get rid of,2667,menyingkirkan
海,ocean,2667,laut
变态,abnormal,2666,abnormal
在场,Be present,2665,Hadir
锁,Lock,2664,Kunci
这座,This,2664,Ini
细节,detail,2663,rincian
抱怨,complain,2662,mengeluh
部,department,2662,departemen
陌生人,stranger,2661,lebih aneh
秨,Bleak,2660,Suram
为此,to this end,2660,untuk tujuan ini
毛,hair,2659,rambut
独自,alone,2659,sendiri
红,red,2659,merah
档案,file,2658,mengajukan
一套,set,2657,mengatur
优秀,excellent,2657,bagus sekali
喊,call,2656,panggilan
美妙,wonderful,2656,luar biasa
血液,blood,2656,darah
数据,data,2655,data
内容,content,2654,isi
大师,Grandmaster,2653,Guru Besar
这张,This,2649,Ini
随着,along with,2647,bersama dengan
混乱,confusion,2646,kebingungan
聊天,chat,2646,mengobrol
乖乖,Obedient,2643,Patuh
走路,walk,2639,berjalan
马丁,Martin,2637,Martin
需,need,2636,membutuhkan
早点,Early,2633,Lebih awal
伙伴,partner,2633,mitra
し,し し,2632,し し
有空,available,2632,tersedia
指挥,command,2629,memerintah
态度,manner,2629,tata krama
左,Left,2625,Kiri
几次,several times,2624,beberapa kali
牛,ox,2622,sapi
审判,Trial,2621,Uji coba
媒体,media,2620,media
这有,Here is,2620,Di sini adalah
保安,security guard,2619,penjaga keamanan
教会,church,2618,gereja
即,Right now,2617,Sekarang
記得,Remember,2614,Ingat
并非,Not,2613,Bukan
工厂,factory,2612,pabrik
收集,collect,2611,mengumpulkan
背,back,2611,kembali
每年,Per year,2611,Per tahun
赶,Rush,2611,Bergegas
射击,shooting,2608,penembakan
ぱ,Bleak,2603,Suram
ﻞ,Bleak,2603,Suram
一根,One,2601,Satu
过得,Overwhelming,2597,Begitu banyak
损失,loss,2597,kehilangan
帮帮我,Help,2596,Membantu
王八蛋,Son of a bitch,2596,Dasar bajingan
法官大人,Your Honor,2596,Yang Mulia
埋,Bury,2591,Mengubur
杀掉,Kill,2590,Membunuh
这条,This,2589,Ini
鞋子,shoe,2587,sepatu
事物,thing,2587,benda
死者,deceased,2586,almarhum
不止,more than,2585,lebih dari
拖,drag,2585,menyeret
能否,Can,2585,Bisa
奴隶,slave,2583,budak
兒子,son,2582,putra
我現,I am present,2580,aku hadir
被捕,Arrest,2578,Menangkap
瞷,Bleak,2577,Suram
分析,analyze,2576,menganalisa
微笑,Smile,2574,Senyum
翴,Bleak,2572,Suram
俄罗斯,Russia,2566,Rusia
情人,lover,2565,kekasih
か,Bleak,2565,Suram
胡说,nonsense,2563,omong kosong
市场,market,2563,pasar
降落,landing,2562,pendaratan
投降,surrender,2561,menyerah
定,Certainly,2561,Tentu
交往,Exchanges,2560,Pertukaran
骑,ride,2560,mengendarai
幻想,fantasy,2559,fantasi
首歌,Song,2558,Lagu
盒子,Box,2557,Kotak
开火,Fire,2555,Api
那条,That,2555,Itu
算了吧,forget it,2552,lupakan
出事,Cause,2552,Menyebabkan
悲伤,sad,2551,sedih
进攻,attack,2549,menyerang
超,overtake,2547,menyusul
威廉,William,2546,William
谈过,Talked about,2546,Dibicarakan tentang
经济,economy,2545,ekonomi
聊聊,Talk,2544,Bicara
宁愿,would rather,2542,lebih suka
鸡,chicken,2541,ayam
局,Bureau,2540,Biro
两人,Two,2540,Dua
那晚,That night,2537,Malam itu
葬礼,funeral,2536,pemakaman
嫉妒,envy,2536,iri
芝加哥,Chicago,2535,Kota Chicago
想干什么,What do you want to do,2534,Apa yang ingin kamu lakukan?
乖,good,2534,Bagus
绝不会,Never,2533,Tidak pernah
英尺,foot,2533,kaki
演,play,2529,bermain
蟿,Bleak,2528,Suram
男子,man,2527,pria
误会,Misunderstand,2526,Salah paham
这话,This,2523,Ini
ﺭ,Bleak,2523,Suram
清醒,wide awake,2522,terjaga sepenuhnya
外套,coat,2522,mantel
打个,Be,2520,Menjadi
不信,Do not believe,2517,Jangan percaya
出色,outstanding,2516,luar biasa
当心,Be careful,2515,Hati-hati
失陪,Disappear,2514,Menghilang
稍微,a little,2512,sedikit
走进,Go into,2512,Masuk ke dalam
進來,Come in,2511,Datang
毁灭,destroy,2510,menghancurkan
回头,Turn around,2510,Berbalik arah
五个,Five,2508,Lima
工人,Worker,2507,Pekerja
举行,Hold,2507,Memegang
度过,Over,2506,Lebih
类似,similar,2505,serupa
懂得,know,2503,tahu
科学家,the scientist,2502,ilmuwan
支付,Pay,2501,Membayar
牛奶,milk,2500,susu
正要,Take the right,2499,Ambil yang kanan
反,opposite,2499,di depan
说好,agreed,2498,sepakat
ら,Bleak,2496,Suram
长得,Grow,2494,Tumbuh
搭档,partner,2491,mitra
露西,Luci,2490,Luci
坚强,strong,2489,kuat
鞋,shoe,2489,sepatu
语言,language,2489,bahasa
感染,Infect,2489,Menulari
歲,age,2487,usia
规定,Regulation,2487,Peraturan
农场,farm,2486,peternakan
钻石,diamond,2485,berlian
六,six,2485,enam
ﻓ,Bleak,2485,Suram
常常,Frequent,2484,Sering
蛋,Egg,2482,Telur
生日快乐,Happy birthday,2482,Selamat ulang tahun
直升机,Helicopter,2481,Helikopter
广告,advertise,2480,mengiklankan
其實,actually,2479,Sebenarnya
州,state,2478,negara
表达,Express,2478,Cepat
砍,cut,2476,memotong
那裡,There,2475,Di sana
镇,town,2472,kota
說過,Say,2471,Mengatakan
總,total,2469,total
沙漠,desert,2467,gurun
ﺒ,Bleak,2466,Suram
完蛋,Finish,2465,Menyelesaikan
引擎,engine,2465,mesin
口袋,pocket,2464,saku
愿望,desire,2464,menginginkan
道路,the way,2464,jalan
带我去,take me,2461,bawa aku
海滩,beach,2461,pantai
文化,culture,2461,budaya
总部,Headquarters,2461,Markas besar
脑子,Brain,2460,Otak
城里,In the city,2460,Di kota
慰,comfort,2459,kenyamanan
风,wind,2456,angin
黄金,gold,2455,emas
暗,dark,2454,gelap
说法,statement,2454,penyataan
ﺳ,Bleak,2452,Suram
奥,profound,2451,menonjol
み,Bleak,2450,Suram
耐心,patience,2450,kesabaran
去死吧,go to hell,2450,pergi ke neraka
课,class,2449,kelas
放过,Let go,2449,Melepaskan
解雇,Dismiss,2447,Membubarkan
期间,period,2446,periode
ﻛ,Bleak,2446,Suram
伤口,Wound,2445,Luka
脱,Take off,2442,Lepas landas
投资,invest,2440,menginvestasikan
此事,This matter,2439,Hal ini
树,Tree,2439,Pohon
描述,describe,2438,menggambarkan
ﺬ,Bleak,2436,Suram
退休,retire,2436,pensiun
长时间,For a long time,2435,Untuk waktu yang lama
地下,underground,2433,bawah tanah
克斯,Chips,2433,Keripik
稍,a little,2431,sedikit
く,Bleak,2430,Suram
情況,Condition,2429,Kondisi
代价,cost,2428,biaya
欺骗,cheat,2427,mencurangi
队伍,Team,2427,Tim
咦,Huh,2425,Hah
到时候,By the time,2424,Pada saat itu
指望,Hope,2424,Harapan
烂,rotten,2423,busuk
视频,video,2423,video
也許,Maybe,2422,Mungkin
不来,Not coming,2421,Tidak datang
踩,Step on,2420,Langkah di
爹,father,2419,ayah
一座,One by one,2418,Satu per satu
选手,Player,2417,Pemain
挑,pick,2417,memilih
国际,internationality,2416,internasionalitas
留给,Leave,2415,Meninggalkan
希特勒,Hitler,2414,Hitler
间谍,spy,2414,mengintai
真想,Really want,2412,Pengen banget
程度,degree,2411,derajat
用于,For,2411,Untuk
尊敬,Respect,2409,Menghormati
保重,Take care of yourself,2409,Jaga dirimu sendiri
一声,One,2407,Satu
革命,revolution,2405,revolusi
搜索,search,2404,mencari
羅,Luo,2404,Luo
教训,lesson,2403,pelajaran
支援,support,2403,mendukung
莫,No,2401,TIDAK
盖,build,2400,membangun
珍妮,Jenny,2400,Jenny
心理,psychology,2399,psikologi
真不错,really not bad,2397,sebenarnya tidak buruk
返回,return,2396,kembali
设备,equipment,2395,peralatan
制服,uniform,2395,seragam
同一个,the same one,2394,yang sama
っ,Bleak,2394,Suram
左边,left,2393,kiri
西班牙,Spain,2390,Spanyol
拿出,Take out,2390,Mengambil
贱人,Bitter,2388,Pahit
糖,sugar,2388,gula
承受,bear,2384,beruang
少校,Junior college,2383,Perguruan tinggi junior
決定,Decide,2381,Memutuskan
擅长,Be good at,2380,Pandai
復,complex,2380,kompleks
千万,Tens of millions,2379,Puluhan juta
裙子,skirt,2376,rok
非洲,Africa,2374,Afrika
基本,Basic,2373,Dasar
煮,cook,2372,memasak
我來,I come,2372,aku datang
女友,Girlfriend,2372,Pacar perempuan
见见,See,2369,Melihat
と,Bleak,2369,Suram
说完,Finish,2368,Menyelesaikan
传说,legend,2367,legenda
冒,Take up,2366,Mengambil
也就是说,That is,2366,Yaitu
哈哈,Ha ha,2364,Ha ha
斯特,Scrutiny,2364,Pengawasan
一路,One way,2361,SATU ARAH
迷人,charming,2360,menawan
很酷,Cool,2359,Dingin
だ,Bleak,2359,Suram
亚,Sub -,2358,Sub -
非法,illegal,2356,liar
ä,bleak,2355,suram
屋子,room,2354,ruang
女兒,daughter,2351,anak perempuan
搞错,Make a mistake,2350,Melakukan kesalahan
作战,Fight,2350,Bertarung
他媽,His mother,2349,Ibunya
情绪,mood,2349,suasana hati
那会,Then,2349,Kemudian
然,But,2348,Tetapi
工具,tool,2347,alat
手臂,arm,2347,lengan
結束,Finish,2346,Menyelesaikan
皮肤,skin,2346,kulit
真心,sincere,2345,jujur
害死,Kill,2345,Membunuh
起诉,Prosecution,2345,Penuntutan
做个,Make a,2341,Membuat sebuah
骂,scold,2340,memarahi
五年,Five years,2340,Lima tahun
建筑,architecture,2340,arsitektur
多次,repeatedly,2338,berulang-kali
全国,Nationwide,2337,Nasional
流血,bleed,2336,berdarah
混,mix,2336,mencampur
指挥官,commander,2333,komandan
合法,legitimate,2333,sah
驾驶,drive,2333,menyetir
没想,Never think about,2332,Jangan pernah berpikir tentang
史蒂夫,Steve,2332,Steve
麦,wheat,2332,gandum
接电话,Answer the phone,2330,Menjawab telepon
我见,I see,2330,Jadi begitu
检察官,Prosecutor,2330,Jaksa
转移,Transfer,2330,Transfer
不管怎样,one way or another,2330,dengan satu atau lain cara
相处,get along,2330,bergaul
一切都是,Everything,2328,Semuanya
原本,original,2325,asli
共同,common,2322,umum
ﻚ,Bleak,2319,Suram
不要紧,Not tight,2317,Tidak ketat
威士忌,whisky,2316,wiski
烟,cigarette,2315,rokok
妈咪,Mum,2315,Bungkam
ﻜ,Bleak,2314,Suram
點,point,2309,titik
网络,network,2308,jaringan
儿童,child,2305,anak
之内,within,2304,di dalam
修,build,2303,membangun
蛇,snake,2303,ular
后期,Later,2303,Nanti
太晚,Too late,2303,Terlambat
年龄,age,2302,usia
楼下,downstairs,2301,di bawah
员工,staff,2301,staf
科,division,2301,divisi
尼,Nib,2300,Ujung pena
避免,avoid,2300,menghindari
肯,Be willing,2299,Bersedia
吵架,quarrel,2299,pertengkaran
效果,Effect,2298,Memengaruhi
歌手,singer,2297,penyanyi
一刻,A moment,2296,Sesaat
活下去,Survive,2295,Bertahan hidup
砸,Smash,2295,Menghancurkan
美味,tasty,2294,lezat
滚出去,Go out,2294,Keluar
神圣,sacred,2290,suci
运行,run,2289,berlari
双手,Hands,2287,Tangan
交,pay,2285,membayar
有着,have,2280,memiliki
那邊,there,2280,di sana
還好,fine,2280,Bagus
刚好,just,2277,hanya
撤退,retreat,2276,mundur
托尼,Tony,2272,Tony
赚钱,make money,2270,menghasilkan uang
聽著,listen,2269,mendengarkan
地面,ground,2269,tanah
男生,Boy,2269,Anak laki-laki
七,seven,2269,tujuh
處,Place,2267,Tempat
最佳,optimal,2265,optimal
出门,Go out,2264,Keluar
想来,Want to come,2262,Mau ikut
尴尬,Awkward,2262,Canggung
当成,Treat,2262,Merawat
手中,In the hands,2260,Di tangan
等一等,Wait,2259,Tunggu
假设,Hypothesis,2258,Hipotesa
鲍勃,Bob,2258,Bob
莎,Worship,2258,Memuja
男友,Boyfriend,2256,Pacar
艰难,difficult,2254,sulit
公开,public,2252,publik
我怕,I'm afraid,2252,aku takut
布朗,Brown,2252,Cokelat
大事,event,2251,peristiwa
全球,worldwide,2251,di seluruh dunia
这么久,so long,2250,sampai jumpa
蔚,Unrestrained,2247,Bebas
那次,That time,2245,Waktu itu
装置,Device,2241,Perangkat
签名,sign,2241,tanda
外星人,alien,2241,asing
商店,shop,2239,toko
沒什麼,nothing,2237,Tidak ada apa-apa
部落,tribe,2237,suku
反抗,Resist,2235,Melawan
